x,y,Dataset,Delay,Freq,Time
0.2794681382727494,0.24489397458854187,Lemon,1,3,0.0
0.24489397458854187,0.1791245732727957,Lemon,1,3,0.004
0.1791245732727957,0.07141914505936413,Lemon,1,3,0.008
0.07141914505936413,-0.07696347120042817,Lemon,1,3,0.012
-0.07696347120042817,-0.25828729022785535,Lemon,1,3,0.016
-0.25828729022785535,-0.47841443505364317,Lemon,1,3,0.02
-0.47841443505364317,-0.683567520082863,Lemon,1,3,0.024
-0.683567520082863,-0.7917290638245512,Lemon,1,3,0.028
-0.7917290638245512,-0.8699564502523426,Lemon,1,3,0.032
-0.8699564502523426,-0.972232861398853,Lemon,1,3,0.036
-0.972232861398853,-1.0173590833944333,Lemon,1,3,0.04
-1.0173590833944333,-1.00178369546151,Lemon,1,3,0.044
-1.00178369546151,-0.9553716278714554,Lemon,1,3,0.048
-0.9553716278714554,-0.8761369797293342,Lemon,1,3,0.052
-0.8761369797293342,-0.7635763511973105,Lemon,1,3,0.056
-0.7635763511973105,-0.669674697517052,Lemon,1,3,0.06
-0.669674697517052,-0.6818616769573209,Lemon,1,3,0.064
-0.6818616769573209,-0.6876597441069866,Lemon,1,3,0.068
-0.6876597441069866,-0.5360164425673609,Lemon,1,3,0.072
-0.5360164425673609,-0.2883061374972313,Lemon,1,3,0.076
-0.2883061374972313,-0.07981939918557208,Lemon,1,3,0.08
-0.07981939918557208,0.018152273158122394,Lemon,1,3,0.084
0.018152273158122394,0.09727827263259381,Lemon,1,3,0.088
0.09727827263259381,0.2031097514148593,Lemon,1,3,0.092
0.2031097514148593,0.27521103089309773,Lemon,1,3,0.096
0.27521103089309773,0.37148955923295346,Lemon,1,3,0.1
0.37148955923295346,0.5551645421775346,Lemon,1,3,0.104
0.5551645421775346,0.7746429235628081,Lemon,1,3,0.108
0.7746429235628081,0.9243280226076591,Lemon,1,3,0.112
0.9243280226076591,0.9051009254369548,Lemon,1,3,0.116
0.9051009254369548,0.6441239348299632,Lemon,1,3,0.12
0.6441239348299632,0.215775971292703,Lemon,1,3,0.124
0.215775971292703,-0.18090905943067062,Lemon,1,3,0.128
-0.18090905943067062,-0.4411620874961879,Lemon,1,3,0.132
-0.4411620874961879,-0.5201190610452187,Lemon,1,3,0.136
-0.5201190610452187,-0.466364015762179,Lemon,1,3,0.14
-0.466364015762179,-0.4395050330709809,Lemon,1,3,0.144
-0.4395050330709809,-0.48740647109560153,Lemon,1,3,0.148
-0.48740647109560153,-0.5657723812644097,Lemon,1,3,0.152
-0.5657723812644097,-0.571847183023729,Lemon,1,3,0.156
-0.571847183023729,-0.4315515115788297,Lemon,1,3,0.16
-0.4315515115788297,-0.16972138122823044,Lemon,1,3,0.164
-0.16972138122823044,0.2328942381910551,Lemon,1,3,0.168
0.2328942381910551,0.7126844694570281,Lemon,1,3,0.172
0.7126844694570281,1.1113455011186242,Lemon,1,3,0.176
1.1113455011186242,1.4005625894989369,Lemon,1,3,0.18
1.4005625894989369,1.6341453469542933,Lemon,1,3,0.184
1.6341453469542933,1.7945589838000613,Lemon,1,3,0.188
1.7945589838000613,1.8355995418545,Lemon,1,3,0.192
1.8355995418545,1.762817423489608,Lemon,1,3,0.196
1.762817423489608,1.64527171552428,Lemon,1,3,0.2
1.64527171552428,1.5010342190525499,Lemon,1,3,0.204
1.5010342190525499,1.2875378064404426,Lemon,1,3,0.208
1.2875378064404426,1.1665515148649055,Lemon,1,3,0.212
1.1665515148649055,1.1952546304128793,Lemon,1,3,0.216
1.1952546304128793,1.1475000879014357,Lemon,1,3,0.22
1.1475000879014357,0.9474954592392524,Lemon,1,3,0.224
0.9474954592392524,0.7157754984424832,Lemon,1,3,0.228
0.7157754984424832,0.5812263809971608,Lemon,1,3,0.232
0.5812263809971608,0.5032473296293183,Lemon,1,3,0.236
0.5032473296293183,0.3976914779031354,Lemon,1,3,0.24
0.3976914779031354,0.2970241185752523,Lemon,1,3,0.244
0.2970241185752523,0.19467950105214404,Lemon,1,3,0.248
0.19467950105214404,0.1287022540397341,Lemon,1,3,0.252
0.1287022540397341,0.1497955366655265,Lemon,1,3,0.256
0.1497955366655265,0.2606578584289942,Lemon,1,3,0.26
0.2606578584289942,0.46894675909013694,Lemon,1,3,0.264
0.46894675909013694,0.6656673086487753,Lemon,1,3,0.268
0.6656673086487753,0.7830590262127568,Lemon,1,3,0.272
0.7830590262127568,0.8318018513293142,Lemon,1,3,0.276
0.8318018513293142,0.8095951420656504,Lemon,1,3,0.28
0.8095951420656504,0.7849079595168751,Lemon,1,3,0.284
0.7849079595168751,0.77016502270723,Lemon,1,3,0.288
0.77016502270723,0.7454062284770959,Lemon,1,3,0.292
0.7454062284770959,0.7899598320772333,Lemon,1,3,0.296
0.7899598320772333,0.877643088642079,Lemon,1,3,0.3
