EDA_Raw,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime
11.73400953,11.731423414972404,11.880412805681752,-0.14898939064972389,0,0,0.0,0.0,0.0,0,0.0
11.74621657,11.738775919388827,11.881188615816212,-0.14241269636792186,0,0,0.0,0.0,0.0,0,0.0
11.75232008,11.746138122701373,11.881965749455508,-0.13582762669483345,0,0,0.0,0.0,0.0,0,0.0
11.75689772,11.75349436008682,11.882744204844634,-0.12924984469867698,0,0,0.0,0.0,0.0,0,0.0
11.77063063,11.760832915937511,11.883523980215354,-0.12269106421886797,0,0,0.0,0.0,0.0,0,0.0
11.76757887,11.768145949661774,11.884305073786843,-0.11615912406625342,0,0,0.0,0.0,0.0,0,0.0
11.78131178,11.775429276880166,11.885087483766315,-0.10965820682749247,0,0,0.0,0.0,0.0,0,0.0
11.78131178,11.782682019442714,11.885871208349673,-0.10318918884846372,0,0,0.0,0.0,0.0,0,0.0
11.79199293,11.789906145569955,11.886656245722136,-0.0967501000938518,0,0,0.0,0.0,0.0,0,0.0
11.79046705,11.797105927555064,11.887442594058871,-0.09033666644564148,0,0,0.0,0.0,0.0,0,0.0
11.80267408,11.804287348383259,11.888230251525622,-0.08394290308436075,0,0,0.0,0.0,0.0,0,0.0
11.80419996,11.81145748996479,11.889019216279326,-0.07756172625669705,0,0,0.0,0.0,0.0,0,0.0
11.81945875,11.818623934180634,11.889809486468748,-0.07118555223043532,0,0,0.0,0.0,0.0,0,0.0
11.81488112,11.82579420387578,11.890601060235094,-0.06480685630179797,0,0,0.0,0.0,0.0,0,0.0
11.83471754,11.832975265197758,11.891393935712639,-0.05841867045752533,0,0,0.0,0.0,0.0,0,0.0
11.84082106,11.84017310621921,11.89218811102934,-0.05201500475293744,0,0,0.0,0.0,0.0,0,0.0
11.84387282,11.847392400377288,11.89298358430747,-0.045591183873152585,0,0,0.0,0.0,0.0,0,0.0
11.85760573,11.85463625784779,11.893780353664232,-0.03914409575957639,0,0,0.0,0.0,0.0,0,0.0
11.85607985,11.86190606433946,11.894578417212394,-0.032672352816232514,0,0,0.0,0.0,0.0,0,0.0
11.86828688,11.869201404723938,11.89537777306091,-0.026176368280431572,0,0,0.0,0.0,0.0,0,0.0
11.87896803,11.876520067326421,11.896178419315552,-0.01965835193275081,0,0,0.0,0.0,0.0,0,0.0
11.87896803,11.88385812275614,11.896980354079545,-0.01312223126718201,0,0,0.0,0.0,0.0,0,0.0
11.89117506,11.891210068892708,11.897783575454195,-0.006573506505423654,0,0,0.0,0.0,0.0,0,0.0
11.90490797,11.898569031550673,11.898588081539536,-1.904993295548385e-05,0,0,0.0,0.0,0.0,0,0.0
11.90338209,11.905927008754626,11.899393870434958,0.006533138375418329,0,0,0.0,0.0,0.0,0,0.0
11.91406325,11.91327514580171,11.900200940239852,0.013074205617455925,0,0,0.0,0.0,0.0,0,0.0
11.91864088,11.920604028716614,11.90100928905424,0.019594739717819554,0,0,0.0,0.0,0.0,0,0.0
11.92932203,11.92790398490751,11.90181891497942,0.026085069983384362,0,0,0.0,0.0,0.0,0,0.0
11.94000319,11.935165380752865,11.9026298161186,0.03253556468940924,0,0,0.0,0.0,0.0,0,0.0
11.94152907,11.942378906184231,11.903441990577521,0.03893691566170382,0,0,0.0,0.0,0.0,0,0.0
11.95221022,11.949535836947794,11.904255436465098,0.04528040053754176,0,0,0.0,0.0,0.0,0,0.0
11.95526198,11.956628266913759,11.905070151894028,0.05155811507442601,0,0,0.0,0.0,0.0,0,0.0
11.96136549,11.963649305231014,11.905886134981422,0.05776317030413686,0,0,0.0,0.0,0.0,0,0.0
11.97357252,11.970593235243845,11.906703383849408,0.06388985144883363,0,0,0.0,0.0,0.0,0,0.0
11.9750984,11.977455633142299,11.907521896625736,0.0699337365708122,0,0,0.0,0.0,0.0,0,0.0
11.98883131,11.984233444392515,11.908341671444376,0.07589177300224437,0,0,0.0,0.0,0.0,0,0.0
