Label,Condition,Time,EEG 001,EEG 002,EEG 003,EEG 005,EEG 006,EEG 010,EEG 011,EEG 012,EEG 013,EEG 014
0,audio/right,-0.09989760657919393,-3.174850111461749e-07,-2.1590752586929484e-06,-4.505758191537745e-06,-8.181805335518297e-06,-2.9007606539022575e-06,2.863898558265293e-07,-1.4162885619575803e-06,-2.2914342073988923e-07,-5.600490663672668e-07,1.3507014893663918e-06
0,audio/right,-0.09323093991252726,2.9672473285517444e-06,-1.643828870383773e-06,-4.087735242502443e-06,-2.276976192009554e-06,-6.246088662208267e-06,5.472731765412902e-06,2.2157733543745124e-06,2.61387112446856e-06,1.579673235524575e-06,2.6190438124293787e-06
0,audio/right,-0.08656427324586059,3.266105118760308e-07,-2.8983535523510233e-06,-2.5070355022894093e-06,4.113415981683293e-06,-6.631461235681618e-06,6.952414676572301e-06,4.382199249354124e-06,4.061561116466449e-06,3.2637665394736374e-06,1.7665205173120795e-06
0,audio/right,-0.07989760657919392,-4.1557148703966755e-06,-5.5846512674976806e-06,-4.7676007139803045e-06,9.584051241066486e-07,-3.3141825512593876e-06,3.1707484122050606e-06,2.114948048384304e-06,1.7742486959295365e-06,2.008979107739759e-06,-6.035568686651202e-08
0,audio/right,-0.07323093991252726,-9.080609132558719e-06,-8.656394248608425e-06,-1.0366172565498265e-05,-7.055075855565726e-06,3.080831138394915e-07,-3.7969446864954996e-07,-1.4876131952239818e-06,-1.4925528357410768e-06,-6.605624932314933e-07,-7.069841634241971e-07
0,audio/right,-0.06656427324586059,-1.2532750308230607e-05,-1.0258894804416481e-05,-1.2616361790064625e-05,-9.778613384439534e-06,-4.313601094663914e-07,1.989865179384649e-07,-2.766242363488428e-06,-2.98373500751451e-06,-2.3968065748874157e-06,-1.354183104631229e-06
0,audio/right,-0.05989760657919393,-1.0463796851451917e-05,-8.550399910292664e-06,-8.088818249635438e-06,-5.661660912620178e-06,-4.230303729674597e-06,1.5440027744648039e-06,-2.5994374028135684e-06,-3.5210250697423236e-06,-3.059596393219436e-06,-3.45023761991478e-06
0,audio/right,-0.05323093991252726,-5.567841811043432e-06,-5.4242760959929616e-06,-2.1746066900433772e-06,-1.4523531537919975e-06,-5.273763915674993e-06,-1.2344561358158016e-07,-2.9281318350849815e-06,-3.943268501125909e-06,-3.071897202785667e-06,-4.47290742347054e-06
0,audio/right,-0.04656427324586059,-3.862955003210473e-06,-3.3415750617710147e-06,-5.164246496738704e-07,1.9448434083160334e-08,-1.6524069341543082e-06,-2.4561741565454076e-06,-2.7948894207379523e-06,-2.9624335921741344e-06,-1.9399572488788102e-06,-2.0901021593789393e-06
0,audio/right,-0.03989760657919393,-5.686883839195767e-06,-3.189617227699632e-06,-2.617216267116962e-06,1.7946534411623262e-07,1.5061966144406035e-06,-2.430122496785335e-06,-1.3787781605934095e-06,-5.777446081205621e-07,-1.0782635603347352e-07,1.1140925453000462e-06
0,audio/right,-0.03323093991252726,-4.9672881660801e-06,-2.945543618725106e-06,-3.3300201247329753e-06,3.860226871971952e-07,5.929173050464397e-07,-1.8131012412020201e-06,-5.365305905150554e-07,2.804512821883694e-07,2.9158533227046253e-07,1.167744999637488e-06
0,audio/right,-0.026564273245860595,-4.434400224809777e-07,-9.947329480011774e-07,8.5412830677598e-08,3.439180292962907e-07,-1.7542136856896492e-06,-3.2772120273632317e-06,-1.3943012318692123e-06,-1.56276190244644e-06,-1.444815492262465e-06,-1.1552894768253797e-06
0,audio/right,-0.019897606579193927,4.9748070290454494e-06,3.666966368428654e-06,5.929303985176753e-06,1.800115268917616e-06,-9.457584391573669e-07,-5.236840047409661e-06,-1.7708157795590742e-06,-2.8423551246708903e-06,-2.729462137026137e-06,-2.006885825050904e-06
0,audio/right,-0.01323093991252726,9.84574218938042e-06,9.87083203592093e-06,1.0393368394910403e-05,5.230205621163771e-06,3.5712494936944375e-06,-4.62752851092775e-06,2.5007883219572456e-07,-3.968621961655069e-07,-9.32914838890494e-07,3.9150613232861087e-08
0,audio/right,-0.006564273245860591,1.5934778890824356e-05,1.687484087234858e-05,1.470968104502507e-05,9.071508214231591e-06,1.0105229198349431e-05,-9.68923054047268e-07,3.5515449083232554e-06,4.1690336914259675e-06,3.0477400151716754e-06,2.811138811306474e-06
0,audio/right,0.00010239342080607672,2.3029579066116864e-05,2.5234703587734694e-05,2.4459983731285617e-05,1.2303980129149497e-05,1.7296624191498464e-05,3.687767614091743e-06,6.5584841492113245e-06,7.612716347962355e-06,6.712143573402537e-06,4.428552670977773e-06
0,audio/right,0.006769060087472745,3.169970407685435e-05,3.708553661797049e-05,4.095738525958604e-05,1.7903761415152694e-05,2.4700042264973687e-05,7.116276533996529e-06,9.77808874767735e-06,1.0266529674630268e-05,1.0133970443880116e-05,6.020829150524977e-06
0,audio/right,0.013435726754139399,4.3174445445620694e-05,5.1187836926265835e-05,5.6133716082692396e-05,2.6397705342404494e-05,3.162907164520545e-05,8.669480966779214e-06,1.3872660184731657e-05,1.481237611048865e-05,1.5397159184107412e-05,1.0613590409881224e-05
0,audio/right,0.020102393420806067,5.6322127734750966e-05,6.402755907773347e-05,6.439313196028027e-05,3.357258461254515e-05,3.817236705335299e-05,1.0745923052037135e-05,1.795474609549136e-05,2.0798741593429243e-05,2.2069231576321445e-05,1.8460820223603226e-05
0,audio/right,0.02676906008747275,6.52894883041902e-05,7.278288791637299e-05,7.057419465517957e-05,3.534148671184663e-05,4.4303267574980225e-05,1.593962289350312e-05,2.089372719106806e-05,2.4378037539770106e-05,2.6281143010081053e-05,2.451023683750887e-05
0,audio/right,0.0334357267541394,6.736340226061635e-05,7.793231407018778e-05,8.039639193023086e-05,3.4939026394819136e-05,4.908920744726773e-05,2.2123350100496975e-05,2.254931578322336e-05,2.359396009687056e-05,2.545699612331925e-05,2.3022554157633204e-05
0,audio/right,0.040102393420806084,6.485911195979697e-05,7.914734673191586e-05,8.808133127184714e-05,3.688701163088842e-05,5.0707682693403166e-05,2.3999340272385554e-05,2.2990608896532013e-05,2.1211905537940372e-05,2.1917861364825106e-05,1.5789178363239516e-05
0,audio/right,0.04676906008747274,6.234840591605441e-05,7.617469152698679e-05,8.592401339995793e-05,4.029278188806987e-05,4.923284457817394e-05,2.1483549079776368e-05,2.2354139520968675e-05,2.0672033359972738e-05,1.9951410172082496e-05,1.1027418672197786e-05
0,audio/right,0.05343572675413939,6.189399531254091e-05,7.008643034266812e-05,7.635629068313677e-05,3.960349940302404e-05,4.615080901442461e-05,1.9984807186220517e-05,2.0945523940713295e-05,2.129996454339779e-05,2.030945083703058e-05,1.259209155324608e-05
0,audio/right,0.060102393420806074,6.339270276887172e-05,6.351593109868987e-05,6.665592788841135e-05,3.390858260317003e-05,4.179780818432525e-05,2.0700981567032852e-05,1.8160429462380194e-05,1.9169399459980602e-05,1.9422132259969332e-05,1.4740275596307319e-05
0,audio/right,0.06676906008747273,6.139710223040167e-05,5.62969538462725e-05,5.703685429156804e-05,2.6823182415256237e-05,3.405479731511356e-05,1.7625849116689936e-05,1.2475755651013842e-05,1.2480519815374398e-05,1.416618320492829e-05,1.1132125365474132e-05
0,audio/right,0.07343572675413941,5.0121531530785996e-05,4.793728142491157e-05,4.624543593400518e-05,2.1098146836977592e-05,2.333262425770697e-05,8.486864529683532e-06,4.591297794829554e-06,3.991674048348336e-06,5.89712452181629e-06,3.496101832340983e-06
0,audio/right,0.08010239342080606,3.231615994568066e-05,3.918046015305545e-05,3.7965178899650526e-05,1.4473452907056275e-05,1.4567563019014692e-05,2.2231702599071854e-07,-1.7679083987853978e-06,-2.3496539579336902e-06,-1.185915811421663e-06,-2.467717273717567e-06
0,audio/right,0.08676906008747275,2.0645408502226176e-05,3.178485506757551e-05,3.467119592458435e-05,5.956205486549502e-06,1.1852074240864481e-05,-1.211527605011835e-06,-4.4377438585508225e-06,-5.9939708122755094e-06,-4.931461642205762e-06,-5.575587306068758e-06
