,ECG_Raw,ECG_Filtered,ECG_Clean,R_Peaks
0,0.000762939,-0.0185081175988177,-0.0005357662201111796,0.0
1,-0.000610352,-0.00407585975715543,-0.0011333794623005302,0.0
2,0.000762939,0.010286692552532787,-0.000813980040205353,0.0
3,0.002288818,0.024410134224891397,0.0003562253856825477,0.0
4,0.005340576,0.03804170219258593,0.002299759105861416,0.0
5,0.008087158,0.050845317405958726,0.004923703276054792,0.0
6,0.010375977,0.06241139946596109,0.00811612953085539,0.0
7,0.011444092,0.07227673415225086,0.011743705123391089,0.0
8,0.01083374,0.07995400874999026,0.01565101163384061,0.0
9,0.010375977,0.08496999453620968,0.019662031876897967,0.0
10,0.012969971,0.08691073092651752,0.023584145414743504,0.0
11,0.013122559,0.08547141604392638,0.027214825067260456,0.0
12,0.012969971,0.0805080236996289,0.030351046602854356,0.0
13,0.012969971,0.07208698233821689,0.03280121281323013,0.0
14,0.010375977,0.06052862301491729,0.03439915561970125,0.0
15,0.017852783,0.046439570642812275,0.035019522647806,0.0
16,0.027618408,0.03072884856558905,0.034593586611558716,0.0
17,0.057830811,0.014602288521869549,0.03312424911306105,0.0
18,0.056762695,-0.00046985998280788324,0.030698767285318403,0.0
19,0.053863525,-0.01281603757371719,0.027497553008338043,0.0
20,0.055847168,-0.020658687538772192,0.023797341612779955,0.0
21,0.009613037,-0.022239600246417367,0.019967167814645734,0.0
22,-0.014190674,-0.015968725986411664,0.016455968655641556,0.0
23,-0.013885498,-0.0005856428774024675,0.01377125863179569,0.0
24,-0.004272461,0.024680276859230244,0.012449136345568792,0.0
25,-0.009002686,0.05996636624928092,0.013016784464517464,0.0
26,-0.015258789,0.10466491154040826,0.015949503206083814,0.0
27,-0.014953613,0.15735678463799893,0.021625083962927085,0.0
28,-0.01159668,0.21580189555146906,0.03027893018507173,0.0
29,-0.008850098,0.27699498678313206,0.04196373094816922,0.0
30,-0.006256104,0.33729155793943133,0.056517653219004815,0.0
31,-0.003967285,0.392604152884906,0.07354490566564159,0.0
32,-0.003967285,0.4386639611715039,0.09241210982334887,0.0
33,-0.003814697,0.4713367737088806,0.11226317192345463,0.0
34,-0.046844482,0.4869758340518694,0.13205426557435093,0.0
35,-0.06652832,0.48278698662769987,0.15060909819339974,0.0
36,0.066070557,0.4571735336800161,0.16669282290657905,0.0
37,0.545196533,0.4100194955551918,0.17910075249091437,0.0
38,1.094512939,0.3428628094455944,0.18675548846084863,0.0
39,0.451507568,0.25891098549947683,0.18880352008858572,0.0
